Date,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume
16:00:00,8663.50000,8685.48000,8650.21000,8658.78000,609.038360340
16:15:00,8657.73000,8666.63000,8641.93000,8653.78000,415.746520650
16:30:00,8650.79000,8655.70000,8640.54000,8651.42000,239.205368250
16:45:00,8651.43000,8663.43000,8645.65000,8659.66000,125.377533840
17:00:00,8659.65000,8663.16000,8647.94000,8650.00000,123.945221250
17:15:00,8650.00000,8658.07000,8631.59000,8636.01000,193.778230140
17:30:00,8635.08000,8647.23000,8633.66000,8646.34000,232.577297820
17:45:00,8637.57000,8650.00000,8627.43000,8627.51000,187.082096580
18:00:00,8627.99000,8655.89000,8624.16000,8627.53000,181.713489090
18:15:00,8654.49000,8675.16000,8646.36000,8653.01000,288.624367950
18:30:00,8653.00000,8657.86000,8647.03000,8655.89000,83.348246670

